comentario,comentario_limpio,Sentimiento
"""Pedidos Ya""

Porque un usuario pidió 30 Fernets y 30 Pepsi Black y el repartidor se le plantó: ""Estoy en bici, no soy un flete"".","""pedidos ya""

porque un usuario pidió 30 fernets y 30 pepsi black y el repartidor se le plantó: ""estoy en bici, no soy un flete"".",Negativo
El que pide se olvidó que el delivery es un veneco o un libertario desnutrido.,el que pide se olvidó que el delivery es un veneco o un libertario desnutrido.,Neutro
El repartidor acepta el encargo o la app se lo asigna automaticamente ¿?,el repartidor acepta el encargo o la app se lo asigna automaticamente ¿?,Neutro
"Tiene que ser falso, sino la gente de pedidos ya es retrasada, aunque esté en moto es imposible que lleve más de 6 botellas","tiene que ser falso, sino la gente de pedidos ya es retrasada, aunque esté en moto es imposible que lleve más de 6 botellas",Negativo
Como vas a pedir Fernet con Pepsi existiendo este amor unico? Porteño debe ser,como vas a pedir fernet con pepsi existiendo este amor unico? porteño debe ser,Positivo
"El repartidor voto a Milei, que trabaje para sacar este país adelante","el repartidor voto a milei, que trabaje para sacar este país adelante",Neutro
"que empatía tiene el muchacho che, se merece un par de bifes","que empatía tiene el muchacho che, se merece un par de bifes",Neutro
"El problema no es el repartidor, le estan pidiendo algo físicamente muy complicado 
Ni tampoco del que lo pidio, el pidio algo que segun la app esta bien 
El problema es pedidos ya que no filtra los pedidos o no pone un limite de productos","el problema no es el repartidor, le estan pidiendo algo físicamente muy complicado 
ni tampoco del que lo pidio, el pidio algo que segun la app esta bien 
el problema es pedidos ya que no filtra los pedidos o no pone un limite de productos",Neutro
"No quiere trabajar y, para colmo, pide que lo inviten. Por Dios. Le haces el pedido a un chino y corriendo te lo llevan para ganarse el mango con el envío.","no quiere trabajar y, para colmo, pide que lo inviten. por dios. le haces el pedido a un chino y corriendo te lo llevan para ganarse el mango con el envío.",Neutro
"Más allá de que me parece una aberración tomar fernet con pepsi, en este caso el que estuvo mal fue el rider, que tomó un pedido que no podía cumplir.","más allá de que me parece una aberración tomar fernet con pepsi, en este caso el que estuvo mal fue el rider, que tomó un pedido que no podía cumplir.",Neutro
"El problema no es que pidió 60 botellas, el problema es que toma fernet con Pepsi","el problema no es que pidió 60 botellas, el problema es que toma fernet con pepsi",Neutro
"""Invita por lo menos""","""invita por lo menos""",Neutro
"El problema es q la app te deje hacer el pedido y esta no se lo ofrezca a alguien q ande en auto, como se lo va a ofrecer a un pibe q va en bici, segun tengo entendido la app pide q ingreses el vehículo en el q te manejas. No es ni culpa del cliente ni del repartidor por agarrar.","el problema es q la app te deje hacer el pedido y esta no se lo ofrezca a alguien q ande en auto, como se lo va a ofrecer a un pibe q va en bici, segun tengo entendido la app pide q ingreses el vehículo en el q te manejas. no es ni culpa del cliente ni del repartidor por agarrar.",Neutro
Si el no puede llevar que lo deje al pedido a alguien que esta en moto,si el no puede llevar que lo deje al pedido a alguien que esta en moto,Neutro
"Como la ve el Javo, toma Pepsi Black con Fernet y te saca el país adelante.","como la ve el javo, toma pepsi black con fernet y te saca el país adelante.",Negativo
¿Bancan que la Pepsi Black con fernet es de chad?,¿bancan que la pepsi black con fernet es de chad?,Negativo
"Y bueno, libertario que hace delivery: labura. ¿No te gusta la aplicación que tanto defendes? Desarrolla tu propia app y labura por aparte.
Ahora traeme el fernet, negro de mierda, que estamos con sed","y bueno, libertario que hace delivery: labura. ¿no te gusta la aplicación que tanto defendes? desarrolla tu propia app y labura por aparte.
ahora traeme el fernet, negro de mierda, que estamos con sed",Negativo
Tienen q tener un límite de peso y mandar una moto y listo,tienen q tener un límite de peso y mandar una moto y listo,Neutro
Pero cuando agarran el pedido no se ve lo que se está pidiendo??? O te salta cuando aceptas?,pero cuando agarran el pedido no se ve lo que se está pidiendo??? o te salta cuando aceptas?,Neutro
"Que pedazo de culiau!! como mierda vas a tomar fernet con pepsi!! peor aun es la pepsi black, preso por culiadaso tiene que ir el tipo ese","que pedazo de culiau!! como mierda vas a tomar fernet con pepsi!! peor aun es la pepsi black, preso por culiadaso tiene que ir el tipo ese",Negativo
Pregunto xq no uso esa app . Pero el cadete ni puede simplemente rechazar el pedido ?,pregunto xq no uso esa app . pero el cadete ni puede simplemente rechazar el pedido ?,Neutro
"tenes 2 opciones . O no aceptas el pedido , o lo cancelas y seguis trabajando sin llorar , esta lleno de pelotudos que piden cantidades exageradas de bebidas pero mas pelotudo es el que lo lleva . Y ni te digo el que lo acepta y depsues llora .","tenes 2 opciones . o no aceptas el pedido , o lo cancelas y seguis trabajando sin llorar , esta lleno de pelotudos que piden cantidades exageradas de bebidas pero mas pelotudo es el que lo lleva . y ni te digo el que lo acepta y depsues llora .",Negativo
dónde podemos encontrar a este hermosos chad?,dónde podemos encontrar a este hermosos chad?,Neutro
"Como repartidor hay una opción que es dividir el pedido si es muy grande, y ni hay ninguna penalización ni nada","como repartidor hay una opción que es dividir el pedido si es muy grande, y ni hay ninguna penalización ni nada",Positivo
"En todo caso, si la APP permite un pedido de ese tamaño deberia derivarla a dos o tres repartidores o a uno solo que tenga auto, el cliente solo hizo uso de una funcion que brinda la aplicacion.","en todo caso, si la app permite un pedido de ese tamaño deberia derivarla a dos o tres repartidores o a uno solo que tenga auto, el cliente solo hizo uso de una funcion que brinda la aplicacion.",Neutro
"“invitá por lo menos”

el cliente: Dale

El delivery:","“invitá por lo menos”

el cliente: dale

el delivery:",Neutro
"Lo banco a Franco, al menos pidió Pepsi para no arruinar una Coca-Cola con ese jugo de cucarachas intomable que es el fernet.","lo banco a franco, al menos pidió pepsi para no arruinar una coca-cola con ese jugo de cucarachas intomable que es el fernet.",Neutro
"Es problema es la App mi rey, ese es el problema.","es problema es la app mi rey, ese es el problema.",Neutro
Aparte que problema mental tiene para pedir PEPSI con fernet,aparte que problema mental tiene para pedir pepsi con fernet,Negativo
se puede mezclar fernet con pepsi? pensé que era solo con coca,se puede mezclar fernet con pepsi? pensé que era solo con coca,Neutro
COMO VAS A TOMAR EL FERNET CON PEPSI NO SEAS HIJO DE PUTA,como vas a tomar el fernet con pepsi no seas hijo de puta,Neutro
"Siempre el mismo drama, vos podés pedir 30 bolsas de cemento, si te deja la app cual es el drama?
Ahora, xq la app lo asigna a un boludo con bici o moto?","siempre el mismo drama, vos podés pedir 30 bolsas de cemento, si te deja la app cual es el drama?
ahora, xq la app lo asigna a un boludo con bici o moto?",Negativo
"""Un par de botellas nomas, dale que las estamos esperando""
Decime que sos un negro turro y villero sin decirme que sos un negro turro y villero","""un par de botellas nomas, dale que las estamos esperando""
decime que sos un negro turro y villero sin decirme que sos un negro turro y villero",Negativo
Lo que esta realmente mal de esto es que tomen fernet con Pepsi en vez de coca,lo que esta realmente mal de esto es que tomen fernet con pepsi en vez de coca,Neutro
“invita por lo menos”,“invita por lo menos”,Neutro
Cuando es un pedido así el repartidor le pide a soporte que lo divida y lo llevan entre 2 o 3 personas. O el pibe es nuevo y no lo sabe o no es de pedidos ya.,cuando es un pedido así el repartidor le pide a soporte que lo divida y lo llevan entre 2 o 3 personas. o el pibe es nuevo y no lo sabe o no es de pedidos ya.,Neutro
"Fuera de bromas, deberían habilitar un precio más alto para estos casos. Para mí es un error de la app, que querés que te diga :b","fuera de bromas, deberían habilitar un precio más alto para estos casos. para mí es un error de la app, que querés que te diga :b",Positivo
El típo o es un marrón o un chetitio acomodado no hay punto medio,el típo o es un marrón o un chetitio acomodado no hay punto medio,Neutro
"Que se pongan a laburar los venecos , para que mierda toman el pedido si no van a poder traer bajo la lluvia mis pedidos??? , mientras tanto yo sigo tirado en el sillón eligiendo el mejor video para una tota","que se pongan a laburar los venecos , para que mierda toman el pedido si no van a poder traer bajo la lluvia mis pedidos??? , mientras tanto yo sigo tirado en el sillón eligiendo el mejor video para una tota",Negativo
"Que poronga que el sistema te deja pedir tantas cosas, deja mal parado al repartidor que no tiene forma de cumplir y el que pide un sobrado hijo de puta.","que poronga que el sistema te deja pedir tantas cosas, deja mal parado al repartidor que no tiene forma de cumplir y el que pide un sobrado hijo de puta.",Neutro
"Si no te gusta el laburo déjalo papi, o anda a vender tu culo","si no te gusta el laburo déjalo papi, o anda a vender tu culo",Neutro
El crímen es usar Pepsi y no Coca como una persona normal.,el crímen es usar pepsi y no coca como una persona normal.,Positivo
"Si no le gusta el trabajo que lo cambie el problema no es del cliente 
Por algo lo dejaron hacer la compra si la aplicación no controla eso no es problema del cliente","si no le gusta el trabajo que lo cambie el problema no es del cliente 
por algo lo dejaron hacer la compra si la aplicación no controla eso no es problema del cliente",Neutro
que clase de trolazo toma fernet con pepsi??,que clase de trolazo toma fernet con pepsi??,Neutro
Franco queriendo tomar sus fernets:,franco queriendo tomar sus fernets:,Neutro
"Que aplicación nefasta que permite pedir algo así, y el que pide esa cantidad es un boludo tremendo.","que aplicación nefasta que permite pedir algo así, y el que pide esa cantidad es un boludo tremendo.",Negativo
Loco pero si en uber y pedidos ya puedes pedir ayuda a mas repartidores mal por el repartidor por no saber,loco pero si en uber y pedidos ya puedes pedir ayuda a mas repartidores mal por el repartidor por no saber,Neutro
"""Inivita por lo menos""","""inivita por lo menos""",Neutro
JAJAJAAJ el tipo estaba sediento de la peligrosa,jajajaaj el tipo estaba sediento de la peligrosa,Neutro
"No solo Pepsi, Pepsi Black!
Eso ya es motivo para no llevarle nada.","no solo pepsi, pepsi black!
eso ya es motivo para no llevarle nada.",Negativo
"No entiendo porque las apps no ponen máximo de unidades por repartidor o te dejen ver el pedido antes de aceptar el reparto como uber Qsyo. 

Porque bien que para las promos hay un máximo de unidades por usuario.

Igual tenés que ser muy termo para pedir esa cantidad por app","no entiendo porque las apps no ponen máximo de unidades por repartidor o te dejen ver el pedido antes de aceptar el reparto como uber qsyo. 

porque bien que para las promos hay un máximo de unidades por usuario.

igual tenés que ser muy termo para pedir esa cantidad por app",Neutro
"Cuando puso: "" y por eso laburá!!! Dale"". Me hirvió pa sangre, cuánta gente de mierda dando vuelta","cuando puso: "" y por eso laburá!!! dale"". me hirvió pa sangre, cuánta gente de mierda dando vuelta",Negativo
"""invita por lo menos""","""invita por lo menos""",Neutro
"Franco es mas argentino que un argentino, haz lo que yo digo no lo que yo hago, ni hay que pedirle documento","franco es mas argentino que un argentino, haz lo que yo digo no lo que yo hago, ni hay que pedirle documento",Neutro
Que se joda por haber votado a Milei. Es el libre mercado que defiende.,que se joda por haber votado a milei. es el libre mercado que defiende.,Neutro
"Jajajajaja directamente que no se lo lleve y listo, que la chupe","jajajajaja directamente que no se lo lleve y listo, que la chupe",Neutro
"Cómo vas a tomar fernet con Pepsi?
Encima Pepsi black","cómo vas a tomar fernet con pepsi?
encima pepsi black",Negativo
Pero el delivery no puede ver antes las condiciones? Si no le sirve la zona o lo que tiene que llevar qué pasa? En Uber el conductor ve de dónde a dónde tiene que ir y decide si acepta o no el viaje.,pero el delivery no puede ver antes las condiciones? si no le sirve la zona o lo que tiene que llevar qué pasa? en uber el conductor ve de dónde a dónde tiene que ir y decide si acepta o no el viaje.,Neutro
Franco quería llenar de escabio la previa para que desp las minas se vayan del boliche con los locos q pueden ir a comprar en auto,franco quería llenar de escabio la previa para que desp las minas se vayan del boliche con los locos q pueden ir a comprar en auto,Neutro
Como se puso la gorra!!!,como se puso la gorra!!!,Neutro
Se toma Fernet con Pepsi como toda persona de bien... Se arma para este finde!! Voy a pedir!!,se toma fernet con pepsi como toda persona de bien... se arma para este finde!! voy a pedir!!,Neutro
"Un hijo de re mil puta por mezclar fernet con Pepsi black, lo de ser un sorete por pedir esa cantidad después lo discutimos","un hijo de re mil puta por mezclar fernet con pepsi black, lo de ser un sorete por pedir esa cantidad después lo discutimos",Negativo
